surname,nationality,split
isa,Arabic,train
shalhoub,Arabic,train
baba,Arabic,train
samaha,Arabic,train
wasem,Arabic,train
seif,Arabic,train
tahan,Arabic,train
handal,Arabic,train
mikhail,Arabic,train
saliba,Arabic,train
basara,Arabic,train
atiyeh,Arabic,train
mustafa,Arabic,train
morcos,Arabic,train
bishara,Arabic,train
toma,Arabic,train
sarkis,Arabic,train
sarraf,Arabic,train
mustafa,Arabic,train
daher,Arabic,train
said,Arabic,train
shamon,Arabic,train
sayegh,Arabic,train
kassab,Arabic,train
saliba,Arabic,train
kassis,Arabic,train
malouf,Arabic,train
zogby,Arabic,train
malouf,Arabic,train
zogby,Arabic,train
bahar,Arabic,train
bitar,Arabic,train
awad,Arabic,train
khoury,Arabic,train
sayegh,Arabic,train
antar,Arabic,train
sleiman,Arabic,train
kassab,Arabic,train
nader,Arabic,train
harb,Arabic,train
gaber,Arabic,train
baz,Arabic,train
shamoon,Arabic,train
shamon,Arabic,train
abadi,Arabic,train
masih,Arabic,train
toma,Arabic,train
shamoon,Arabic,train
ganim,Arabic,train
ghannam,Arabic,train
botros,Arabic,train
maloof,Arabic,train
salib,Arabic,train
ganim,Arabic,train
boutros,Arabic,train
handal,Arabic,train
attia,Arabic,train
harb,Arabic,train
hadad,Arabic,train
nahas,Arabic,train
naifeh,Arabic,train
gaber,Arabic,train
boutros,Arabic,train
mustafa,Arabic,train
tahan,Arabic,train
mansour,Arabic,train
gaber,Arabic,train
malouf,Arabic,train
samaha,Arabic,train
ghannam,Arabic,train
salib,Arabic,train
handal,Arabic,train
awad,Arabic,train
mustafa,Arabic,train
hanania,Arabic,train
kassis,Arabic,train
najjar,Arabic,train
attia,Arabic,train
shadid,Arabic,train
nahas,Arabic,train
arian,Arabic,train
zogby,Arabic,train
khoury,Arabic,train
masih,Arabic,train
botros,Arabic,train
quraishi,Arabic,train
shammas,Arabic,train
kanaan,Arabic,train
fakhoury,Arabic,train
shammas,Arabic,train
amari,Arabic,train
bata,Arabic,train
said,Arabic,train
naifeh,Arabic,train
mustafa,Arabic,train
wasem,Arabic,train
sarkis,Arabic,train
mifsud,Arabic,train
shammas,Arabic,train
morcos,Arabic,train
assaf,Arabic,train
samaha,Arabic,train
said,Arabic,train
aswad,Arabic,train
antar,Arabic,train
shamoun,Arabic,train
